0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
masuk,pandawa,bayar,tiket,toilet,bayar,toilet,fasilitas,sedia,unjung,gratis,bayar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lepas,pantai,toilet,yg,parkir,yg,musholanya,super,mahal,uang,pecah,bayar,pakai,uang,rb,kasih,kembali,rb,kencing,rb,gilaaakkk,salah,gak,nanya,sih,brp,bayar,tp,ya,gak,nanya,wajar,toilet,rb,,,,,,,,,
kesini,kali,tahun,juli,kecewa,bangeeeeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tutup,pantai,pandawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pandang,bagus,pantai,tebing,bentuk,bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas,kesana,festival,tiket,rb,orang,pantai,melasti,duluan,ekspetasi,lebih,melasti,pantai,tata,harga,masuk,rb,orang,,,,,,,,,,,,,,,,,,,,,,,,,
toilet,jorok,lumut,yg,eek,gk,siram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jorok,pantai,kembang,ayo,lahh,kelola,pantai,pandawa,diam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantai,yg,bal,bagus,pantai,pandawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantai,pandawa,indah,sejuk,orng,ramah,dagang,ramah,ilike,two,much,insa,allah,bsa,dtg,kmbali,,,,,,,,,,,,,,,,,,,,,,,,,,,
indah,pandang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htg,harga,tiket,gratis,warga,larang,putar,bayar,htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bersih,pantai,perhati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau,bintang,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sana,bule,yg,liat,nenen,nya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kesana,pas,seru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panas,biada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sya,sngat,suka,pntai,slh,stux,pndawa,beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jelek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harga,lokal,golong,mahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sampah,kamar,mandi,kotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yg,kunjung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bersih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagus,banget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bantu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jelek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indah,asri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantai,pintu,masuk,keri,melasti,padan,pantai,kotor,air,kotor,umat,islam,kaleng,kaleng,banyak,turis,indonesia,alam,keri,masuk,bayar,toilet,berbay,,,,,,,,,,,,,,,,,,,,
rip,keri,kena,biaya,masuk,k,skuter,orang,orang,asing,pintu,masuk,utama,pantai,masuk,gratis,sisi,ramai,penuh,orang,minggu,kotor,air,pasang,makan,murah,sewa,kayak,,,,,,,,,,,,,,,
orang,pantai,gratis,pergi,pantai,green,bowl,ganti,gratis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entri,beranta,orang,kios,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diskriminasi,orang,asing,bayar,harga,ganda,bagus,bal,milik,wisatawan,bayar,harga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duduk,bayar,masuk,orang,asing,orang,erti,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pantai,bagus,bayar,rp,akses,pantai,parkir,nyaman,bagus,jaga,pantai,atur,area,renang,sesuai,tentu,air,air,penuh,rumput,laut,longgar,,,,,,,,,,,,,,,,,,,,,
biaya,masuk,mahal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pergi,jam,pagi,ramai,air,pasang,pantai,payung,pantai,ambil,pantai,norak,kotor,ramai,turis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
