Text,Label
"Masuk ke Pandawa bayar tiket masa toilet juga harus bayar??
Toilet itu fasilitas umum yang disediakan untuk pengunjung dengan gratis, bukan harus bayar",negatif
"Terlepas dari pantainya... toilet yg ada di depan parkiran yg ada musholanya, super mahal. Karena tidak ada uang pecahan kecil, saya bayar pakai uang 50rb, dikasih kembalian cuma 37rb. Cuma kencing 13rb gilaaakkk👎👎👎👎👎. Salah saya gak nanya sih brp bayarnya, tp ya gak nanya pun sewajarnya toilet cuma 2 sampai 5 rb. …",negatif
"Pernah kesini 2 kali
Pertama ditahun 2015 dan bulan juli 2022
Saya kecewa bangeeeeet",negatif
Tutup pantai pandawa hari ini,negatif
pemandangan kurang bagus untuk di pantai tetapi tebingnya bentuknya bagus,negatif
"Pas kesana ada ""festival"".. tiket 20rb per orang.. sebelumnya saya ke pantai Melasti duluan jadi ekspetasi saya berlebih, karena di Melasti pantai tertata baik dengan harga masuk 8rb per orang.. …",negatif
"Toilet umumnya jorok sekali. Lumutan, ada yg eek gk disiram.",negatif
"JOROK.
Kenapa Dari tahun 2018 - 2021 pantai ini tidak ada perkembangan?!
Ayo lahh pengelola pantai pandawa jangan diam saja!",negatif
Di antara pantai yg ada di Bali paling bagus pantai Pandawa....,positif
"Pantai pandawa sangat indah and sejuk saya naik both orng baik and ramah pedagangnya ramah""ilike two much insa,Allah bsa dtg kmbali",positif
Indah pemandangannya,positif
HTG - harga tiket gratis bagi warga & dilarang putar balik sebelum bayar HTM,positif
Kebersihan pantai harus lebih diperhatikan lagi 😊 …,negatif
Saya belum tau makanya bintang 1:v,negatif
Disana banyak bule yg keliatan nenen nya,negatif
Dulu pernah kesana pas 2015 seru,positif
Panas luar biada,negatif
Sya sngat menyukai pntai.slh stux pndawa beach,positif
Jelek,negatif
Harga lokal masih tergolong mahal,negatif
banyak sampah dan kamar mandinya kotor ,negatif
Baik,positif
Ngaret,negatif
tempat yg ingin saya kunjungi,positif
Kebersihan sangat kurang,negatif
Bagus banget,positif
Sangat membantu,positif
Panas,negatif
Bagus,positif
Baik,positif
Jelek,negatif
Indah asri,positif
